"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025277",1262.66431023125,-3.22623312274397,0.124463247975217,-25.9211709097161,3.84475121383879e-148,8.61755992812441e-146
"ENSMUSG00000037035",2950.64038565323,-6.87064569874242,0.2666459285653,-25.7669252094349,2.0830280038366e-146,4.61971758029825e-144
"ENSMUSG00000074336",297.780869414922,4.96857754695455,0.192833392131092,25.7661678407691,2.12413930364016e-146,4.66182197795777e-144
"ENSMUSG00000036985",1900.72753761862,1.98730669334805,0.0773505109142659,25.6922245226118,1.42782031216531e-145,3.10131403680524e-143
"ENSMUSG00000022912",2218.18414900708,-3.03112856964701,0.11833316657956,-25.6152071077137,1.03286856544872e-144,2.22056202096318e-142
"ENSMUSG00000032327",2731.23571075975,-7.04067887670347,0.275212089838076,-25.5827383195481,2.37446485961264e-144,5.05329294213927e-142
"ENSMUSG00000029231",5398.39545466864,-2.54821877014606,0.0996530130381662,-25.5709154440731,3.21434812315249e-144,6.77231006066997e-142
"ENSMUSG00000016239",755.330939754268,-6.89379025204477,0.270852829621798,-25.4521625698754,6.68087353108621e-143,1.39365667748966e-140
"ENSMUSG00000027495",1872.86928935133,4.0980115877552,0.161176054387282,25.4256849960373,1.31161902894928e-142,2.70926483538554e-140
"ENSMUSG00000027199",3646.73367003349,-4.91764262896568,0.193442072091747,-25.421784288132,1.44858293660952e-142,2.96312562052679e-140
"ENSMUSG00000030109",1050.61152741892,-8.04655338808242,0.316643829639276,-25.4120012294228,1.85823008752793e-142,3.76452401097365e-140
"ENSMUSG00000033597",1955.81767381079,-8.7987501385326,0.346586983214562,-25.3868453365588,3.52386008886937e-142,7.07087697260845e-140
"ENSMUSG00000062380",925.76541118377,-7.67961614261301,0.303712346738976,-25.2858213538919,4.57462261677579e-141,9.09270980309897e-139
"ENSMUSG00000081778",3069.28410855229,-10.2544991928387,0.407320202684774,-25.1755231516829,7.42754119852615e-140,1.46253145338082e-137
"ENSMUSG00000025068",1805.1546100786,3.18876767477004,0.12666537880321,25.1747376031155,7.57612812994539e-140,1.47797632935018e-137
"ENSMUSG00000062591",1023.36202063466,-7.151450487021,0.286343663764888,-24.9750610612182,1.14117027253385e-137,2.20580885064364e-135
"ENSMUSG00000002308",1390.09314182653,-3.88805375619052,0.155706915525567,-24.9703344457563,1.28438409401696e-137,2.46006258880394e-135
"ENSMUSG00000096006",701.805540575236,-5.55290482871609,0.222523340790102,-24.9542578724537,1.9198162276441e-137,3.6440187477688e-135
"ENSMUSG00000025938",790.396784373776,-6.49742435785149,0.261651536643732,-24.832356962988,4.01100748695102e-136,7.54534970915813e-134
"ENSMUSG00000011256",5500.37517203903,-4.26314915023627,0.171934064012418,-24.7952561042724,1.00859799565954e-135,1.88054435137619e-133
"ENSMUSG00000029090",2045.88844831071,-2.58179448515916,0.104262913234445,-24.7623474643735,2.28261499603549e-135,4.21863292556769e-133
"ENSMUSG00000038327",1886.600906344,-9.16840029816759,0.372080761513909,-24.6408878031305,4.60843272860311e-134,8.44304949208164e-132
"ENSMUSG00000031112",365.395448586758,5.12758290391201,0.208634593874737,24.5768585577451,2.23353083802664e-133,4.05674665744683e-131
"ENSMUSG00000040624",1633.08354130089,-3.39662068219408,0.138723013830336,-24.4849112516275,2.13888194041624e-132,3.85163278654956e-130
"ENSMUSG00000015134",1632.2480543235,-7.17486085693966,0.293147915358525,-24.4752238751713,2.71237675040055e-132,4.84297167408383e-130
"ENSMUSG00000050666",1060.3146175401,-3.10955603522495,0.127155712955895,-24.4547096071376,4.48411836795447e-132,7.93915041129687e-130
"ENSMUSG00000003814",40037.7182613978,-1.36568957452092,0.0560699956383079,-24.356869640772,4.90283684369813e-131,8.608155788323e-129
"ENSMUSG00000051579",1960.857719089,3.49831715204245,0.143715353555571,24.3419861934914,7.04858305506257e-131,1.22732724286871e-128
"ENSMUSG00000022636",322.284347520651,4.09917075354234,0.16852828001197,24.3233405886015,1.1103801765308e-130,1.91759015896127e-128
"ENSMUSG00000021306",2070.12397383472,-3.30314054181942,0.136114859635652,-24.2673030017528,4.34250960903593e-130,7.438401215673e-128
"ENSMUSG00000022747",975.329271882732,-3.94781490250735,0.162716018788569,-24.2619929611054,4.9407483146268e-130,8.39488921297355e-128
"ENSMUSG00000025037",2212.1147118551,-3.62686032058006,0.149889256033302,-24.1969332329881,2.39640589026189e-129,4.03919005615422e-127
"ENSMUSG00000039126",946.2327778863,-3.91688699970573,0.162077772687705,-24.1667128980904,4.98283165812003e-129,8.33200636547071e-127
"ENSMUSG00000040713",44767.6906654885,-3.91225354750419,0.162726543789358,-24.0418892726464,1.01488490946965e-127,1.68367009115086e-125
"ENSMUSG00000021792",1416.1550024199,3.77826430475381,0.157171141164142,24.0391733289509,1.08348265301099e-127,1.78342937627254e-125
"ENSMUSG00000066760",71609.9832592912,-8.23383831418289,0.343476216741021,-23.9720769965018,5.43932704466641e-127,8.88381251969586e-125
"ENSMUSG00000031349",629.617062507856,2.78446884076957,0.116426875390713,23.9160316844824,2.08622212646532e-126,3.38112415249983e-124
"ENSMUSG00000051224",901.779996349309,-3.99129301541072,0.167646604014004,-23.8077773115959,2.77443233709409e-125,4.46217671070499e-123
"ENSMUSG00000047842",394.706838977782,-4.32574434920686,0.182323845046919,-23.7256094949823,1.9623907723654e-124,3.13224327143686e-122
"ENSMUSG00000032202",469.779957223463,-4.02080430413684,0.169544517649341,-23.7153306982938,2.50531181707836e-124,3.96875298300932e-122
"ENSMUSG00000068227",653.062940903957,-6.48924053899524,0.273712201709533,-23.7082618110014,2.96336748536086e-124,4.65934250366178e-122
"ENSMUSG00000018217",2906.15980918178,2.40385280775151,0.101845728230167,23.602883002799,3.6001523368443e-123,5.61863774703501e-121
"ENSMUSG00000021108",1218.36920972723,-2.61794814501355,0.110959311885395,-23.5937669451078,4.46596259647018e-123,6.91862984889928e-121
"ENSMUSG00000022824",3355.8691745274,3.81981736267699,0.162506655973036,23.5056055999995,3.57441654665933e-122,5.49703519865441e-120
"ENSMUSG00000021451",1222.37698177346,-3.60090982650889,0.153260738909366,-23.4953181886873,4.55395943065298e-122,6.95270806119041e-120
"ENSMUSG00000021236",1497.5464972047,3.43256824088148,0.146314538122431,23.4601994096392,1.04019962631049e-121,1.57668819616803e-119
"ENSMUSG00000027562",7065.0697618449,-3.34362221265722,0.1427213487362,-23.4276248246324,2.23551764456778e-121,3.36429437524276e-119
"ENSMUSG00000081272",509.591590421432,-6.9895246872225,0.298713218943866,-23.3987793105867,4.39763204066636e-121,6.57118506842549e-119
"ENSMUSG00000037206",1181.5047298049,4.91467305691838,0.210421257430257,23.3563524756871,1.18782693221607e-120,1.7624172982296e-118
